"","spec.num","region","year","cycle","birdsite","siteno","mgmt","edge.core","pan.net","genus","spec.epithet","pollen","sex","county","collector"
"1",1829,"AL",2014,3,"AL",3,"clear.debris","core","pan","Agapostemon","splendens","y","F","Conecuh AL","A. Collector"
"2",1791,"AL",2014,3,"AL",3,"clear.debris","core","net","Agapostemon","splendens","y","F","Conecuh AL","L. Netter"
"3",1972,"AL",2014,4,"AL",3,"clear.debris","core","net","Agapostemon","splendens","y","F","Conecuh AL","B. Catcher"
"4",1507,"AL",2014,2,"AL",3,"clear.debris","core","pan","Agapostemon","splendens","y","F","Conecuh AL","M. McFly"
"5",1846,"AL",2014,3,"AL",3,"clear.debris","edge","pan","Agapostemon","splendens","y","F","Conecuh AL","M. McFly"
"6",1807,"AL",2014,3,"AL",4,"clear.debris","edge","pan","Agapostemon","splendens","y","F","Conecuh AL","A. Collector"
"7",1479,"AL",2014,2,"AL",4,"clear.debris","core","net","Agapostemon","splendens","y","F","Conecuh AL","L. Netter"
"8",1811,"AL",2014,3,"AL",4,"clear.debris","core","pan","Agapostemon","splendens","y","F","Conecuh AL","M. McFly"
"9",1472,"AL",2014,2,"AL",10,"clear.debrisremoved","core","pan","Agapostemon","splendens","y","F","Butler AL","M. McFly"
"10",1744,"AL",2014,3,"AL",10,"clear.debrisremoved","edge","pan","Agapostemon","splendens","n","F","Butler AL","M. McFly"
"11",1513,"AL",2014,2,"AL",2,"naturalref","edge","net","Apis","mellifera","unknown","F","Escambia AL","H. Bugnerd"
"12",1515,"AL",2014,2,"AL",2,"naturalref","edge","net","Apis","mellifera","unknown","F","Escambia AL","H. Bugnerd"
"13",1520,"AL",2014,2,"AL",2,"naturalref","core","net","Apis","mellifera","unknown","F","Escambia AL","L. Netter"
"14",2013,"AL",2014,4,"AL",5,"mature","core","net","Apis","mellifera","unknown","F","Monroe AL","B. Catcher"
"15",2014,"AL",2014,4,"AL",5,"mature","core","net","Apis","mellifera","unknown","F","Monroe AL","B. Catcher"
"16",1587,"AL",2014,3,"AL",10,"clear.debrisremoved","edge","net","Apis","mellifera","unknown","F","Butler AL","H. Bugnerd"
"17",1591,"AL",2014,3,"AL",10,"clear.debrisremoved","edge","net","Apis","mellifera","unknown","F","Butler AL","H. Bugnerd"
"18",1592,"AL",2014,3,"AL",10,"clear.debrisremoved","edge","net","Apis","mellifera","unknown","F","Butler AL","H. Bugnerd"
"19",1589,"AL",2014,3,"AL",11,"young","edge","net","Apis","mellifera","unknown","F","Butler AL","L. Netter"
"20",1896,"AL",2014,4,"AL",14,"unthinned","core","pan","Apis","mellifera","n","F","Butler AL","M. McFly"
"21",1864,"AL",2014,4,"AL",7,"unthinned","edge","pan","Augochlorella","aurata","y","F","Butler AL","A. Katchem"
"22",1858,"AL",2014,3,"AL",2,"naturalref","edge","net","Augochloropsis","metallica","y","F","Escambia AL","L. Netter"
"23",1792,"AL",2014,3,"AL",3,"clear.debris","core","net","Augochloropsis","metallica","y","F","Conecuh AL","L. Netter"
"24",1802,"AL",2014,3,"AL",4,"clear.debris","core","net","Augochloropsis","sumptuosa","y","F","Conecuh AL","H. Bugnerd"
"25",1861,"AL",2014,3,"AL",1,"naturalref","edge","net","Bombus","impatiens","n","F","Escambia AL","H. Bugnerd"
"26",1860,"AL",2014,3,"AL",1,"naturalref","core","net","Bombus","impatiens","n","F","Escambia AL","B. Catcher"
"27",1522,"AL",2014,2,"AL",1,"naturalref","edge","net","Bombus","griseocolis","y","F","Escambia AL","B. Catcher"
"28",1523,"AL",2014,2,"AL",1,"naturalref","edge","net","Bombus","impatiens","y","F","Escambia AL","B. Catcher"
"29",1509,"AL",2014,2,"AL",2,"naturalref","edge","net","Bombus","bimaculatus","y","F","Escambia AL","H. Bugnerd"
"30",1510,"AL",2014,2,"AL",2,"naturalref","edge","net","Bombus","impatiens","y","F","Escambia AL","H. Bugnerd"
"31",1511,"AL",2014,2,"AL",2,"naturalref","edge","net","Bombus","impatiens","n","F","Escambia AL","H. Bugnerd"
"32",1512,"AL",2014,2,"AL",2,"naturalref","edge","net","Bombus","griseocolis","y","F","Escambia AL","H. Bugnerd"
"33",1514,"AL",2014,2,"AL",2,"naturalref","edge","net","Bombus","bimaculatus","y","F","Escambia AL","H. Bugnerd"
"34",1517,"AL",2014,2,"AL",2,"naturalref","core","net","Bombus","griseocolis","y","F","Escambia AL","L. Netter"
"35",1518,"AL",2014,2,"AL",2,"naturalref","core","net","Bombus","impatiens","y","F","Escambia AL","L. Netter"
"36",1794,"AL",2014,3,"AL",3,"clear.debris","core","net","Bombus","pensylvanicus","y","F","Conecuh AL","L. Netter"
"37",1963,"AL",2014,4,"AL",3,"clear.debris","core","net","Bombus","griseocolis","y","F","Conecuh AL","B. Catcher"
"38",1964,"AL",2014,4,"AL",3,"clear.debris","core","net","Bombus","pensylvanicus","n","F","Conecuh AL","B. Catcher"
"39",1965,"AL",2014,4,"AL",3,"clear.debris","core","net","Bombus","pensylvanicus","y","F","Conecuh AL","B. Catcher"
"40",1966,"AL",2014,4,"AL",3,"clear.debris","core","net","Bombus","griseocolis","y","F","Conecuh AL","B. Catcher"
"41",1967,"AL",2014,4,"AL",3,"clear.debris","core","net","Bombus","pensylvanicus","y","F","Conecuh AL","B. Catcher"
"42",1968,"AL",2014,4,"AL",3,"clear.debris","core","net","Bombus","pensylvanicus","y","F","Conecuh AL","B. Catcher"
"43",1970,"AL",2014,4,"AL",3,"clear.debris","core","net","Bombus","griseocolis","y","F","Conecuh AL","B. Catcher"
"44",1781,"AL",2014,3,"AL",3,"clear.debris","edge","net","Bombus","griseocolis","n","M","Conecuh AL","B. Catcher"
"45",1787,"AL",2014,3,"AL",3,"clear.debris","edge","net","Bombus","griseocolis","n","M","Conecuh AL","B. Catcher"
"46",1985,"AL",2014,4,"AL",4,"clear.debris","core","net","Bombus","impatiens","y","F","Conecuh AL","L. Netter"
"47",1987,"AL",2014,4,"AL",4,"clear.debris","core","net","Bombus","impatiens","y","F","Conecuh AL","L. Netter"
"48",1988,"AL",2014,4,"AL",4,"clear.debris","core","net","Bombus","impatiens","y","F","Conecuh AL","L. Netter"
"49",1989,"AL",2014,4,"AL",4,"clear.debris","core","net","Bombus","griseocolis","y","F","Conecuh AL","L. Netter"
"50",1795,"AL",2014,3,"AL",4,"clear.debris","edge","net","Bombus","pensylvanicus","y","F","Conecuh AL","L. Netter"
